Organization Name,NY Reg #,EIN,Registrant Type,City,State
,,,,,
04/11 10:17 PM test,47-13-95,206256427,NFP,ALBANY,NY
1 CLUB COLOMBIA CARIBE INTERNATIONAL,15-79-51,NO DATA AVAILABLE,NFP,QUEENS,NY
1 in 9 The Long Island Breast Cancer Action Coalition,05-26-54,113195645,NFP,BALDWIN,NY
Academy of General Dentistry Foundation,43-07-85,237310583,NFP,ALBANY,NY
ALS ASSOCIATION UPSTATE NEW YORK CHAPTER,21-23-76,412129176,NFP,ELBRIDGE,NY
"American Agora Foundation, Inc.",40-62-78,204000236,NFP,NEW YORK,NY
AMERICAN CLASSICAL ORCHESTRA INC,15-89-17,061072470,NFP,NEW YORK,NY
"AOPA Foundation, Inc.",40-51-26,208817225,NFP,FREDERICK,MD
ARNOLD GOLD FOUNDATION,21-38-43,223052098,NFP,ENGLEWOOD CLIFFS,NJ
"Balanda Community Association, Inc.",42-90-86,264154665,NFP,DENVER,CO
BLESSING WAY FOUNDATION,20-76-19,043138834,NFP,NEW YORK,NY
BOYS & GIRLS CLUB OF THE NORTHTOWNS FOUNDATION INC,01-23-16,160844107,NFP,BUFFALO,NY
BRAND FOUNDATION OF NEW YORK INC,00-12-93,136159106,NFP,NEW YORK,NY
Briar Foundation,42-66-39,356829452,NFP,LARCHMONT,NY
BROOKLYN GYNECOLOGICAL SOCIETY INC,05-02-76,011202369,NFP,BROOKLYN,NY
